Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_ARQK01000057.1	104885	106528		minus	acetolactate synthase large subunit		0	protein-coding		WP_018863281.1	547	G372_RS0110510
NZ_ARQK01000057.1	106575	107207		minus	thiol:disulfide interchange protein DsbA/DsbL		0	protein-coding		WP_018863280.1	210	G372_RS0110515
NZ_ARQK01000057.1	107208	108380		minus	c-type cytochrome biogenesis protein CcsB	ccsB	0	protein-coding		WP_018863279.1	390	G372_RS0110520
NZ_ARQK01000057.1	108406	110463		minus	cytochrome c biogenesis protein ResB		0	protein-coding		WP_018863278.1	685	G372_RS0110525
NZ_ARQK01000057.1	110727	111350		minus	c-type cytochrome		0	protein-coding		WP_018863277.1	207	G372_RS0110530
NZ_ARQK01000058.1	1	1628		minus	retention module-containing protein		0	protein-coding		WP_020008862.1	542	G372_RS14485
NZ_ARQK01000058.1	1937	2551		minus	response regulator transcription factor		0	protein-coding		WP_019624187.1	204	G372_RS0110540
NZ_ARQK01000058.1	2557	3981		minus	HlyD family type I secretion periplasmic adaptor subunit		0	protein-coding		WP_019624186.1	474	G372_RS0110545
NZ_ARQK01000058.1	3978	6113		minus	type I secretion system permease/ATPase		0	protein-coding		WP_019624185.1	711	G372_RS0110550
NZ_ARQK01000058.1	6353	6880		minus	tRNA adenosine(34) deaminase TadA	tadA	0	protein-coding		WP_019624184.1	175	G372_RS0110555
NZ_ARQK01000058.1	6870	7373		minus	glutathione peroxidase		0	protein-coding		WP_019624183.1	167	G372_RS0110560
NZ_ARQK01000058.1	7366	8019		minus	ABC-type transport auxiliary lipoprotein family protein		0	protein-coding		WP_019624182.1	217	G372_RS0110565
NZ_ARQK01000058.1	8022	9035		minus	MlaD family protein		0	protein-coding		WP_019624181.1	337	G372_RS0110570
NZ_ARQK01000058.1	9032	9811		minus	ATP-binding cassette domain-containing protein		0	protein-coding		WP_026340374.1	259	G372_RS0110575
NZ_ARQK01000058.1	9815	10963		minus	MlaE family lipid ABC transporter permease subunit		0	protein-coding		WP_019624179.1	382	G372_RS0110580
NZ_ARQK01000058.1	11103	12029		plus	MoxR family ATPase		0	protein-coding		WP_019624178.1	308	G372_RS0110585
NZ_ARQK01000058.1	12011	13045		plus	DUF58 domain-containing protein		0	protein-coding		WP_018863869.1	344	G372_RS0110590
NZ_ARQK01000058.1	13042	15084		plus	DUF3488 and transglutaminase-like domain-containing protein		0	protein-coding		WP_019624177.1	680	G372_RS0110595
NZ_ARQK01000058.1	15180	15659		minus	Fe-S cluster assembly transcriptional regulator IscR	iscR	0	protein-coding		WP_018863871.1	159	G372_RS0110600
NZ_ARQK01000058.1	15973	16566		minus	L,D-transpeptidase		0	protein-coding		WP_019624176.1	197	G372_RS0110605
NZ_ARQK01000058.1	16577	18085		minus	amidophosphoribosyltransferase	purF	0	protein-coding		WP_019624175.1	502	G372_RS0110610
NZ_ARQK01000058.1	18115	18693		minus	CvpA family protein		0	protein-coding		WP_018863874.1	192	G372_RS0110615
NZ_ARQK01000058.1	18788	19369		minus	SPOR domain-containing protein		0	protein-coding		WP_019624174.1	193	G372_RS0110620
NZ_ARQK01000058.1	19472	20794		minus	folylpolyglutamate synthase/dihydrofolate synthase family protein		0	protein-coding		WP_019624173.1	440	G372_RS0110625
NZ_ARQK01000058.1	20803	21759		minus	acetyl-CoA carboxylase, carboxyltransferase subunit beta	accD	0	protein-coding		WP_019624172.1	318	G372_RS0110630
NZ_ARQK01000058.1	21795	22628		minus	tryptophan synthase subunit alpha	trpA	0	protein-coding		WP_019624171.1	277	G372_RS0110635
NZ_ARQK01000058.1	22625	23833		minus	tryptophan synthase subunit beta	trpB	0	protein-coding		WP_018863879.1	402	G372_RS0110640
NZ_ARQK01000058.1	23830	24459		minus	phosphoribosylanthranilate isomerase		0	protein-coding		WP_019624170.1	209	G372_RS0110645
NZ_ARQK01000058.1	24529	25317		minus	tRNA pseudouridine(38-40) synthase TruA	truA	0	protein-coding		WP_026340373.1	262	G372_RS0110650
NZ_ARQK01000058.1	25394	26107		minus	hypothetical protein		0	protein-coding		WP_019624168.1	237	G372_RS0110655
NZ_ARQK01000058.1	26145	28529		minus	FimV/HubP family polar landmark protein		0	protein-coding		WP_019624167.1	794	G372_RS0110660
NZ_ARQK01000058.1	28710	29735		minus	aspartate-semialdehyde dehydrogenase		0	protein-coding		WP_018863884.1	341	G372_RS0110665
NZ_ARQK01000058.1	29835	30908		minus	3-isopropylmalate dehydrogenase	leuB	0	protein-coding		WP_018875312.1	357	G372_RS0110670
NZ_ARQK01000058.1	31035	31685		minus	3-isopropylmalate dehydratase small subunit	leuD	0	protein-coding		WP_019624166.1	216	G372_RS0110675
NZ_ARQK01000058.1	31689	33101		minus	3-isopropylmalate dehydratase large subunit	leuC	0	protein-coding		WP_019624165.1	470	G372_RS0110680
NZ_ARQK01000058.1	33375	34247		plus	LysR family transcriptional regulator		0	protein-coding		WP_019624164.1	290	G372_RS0110685
NZ_ARQK01000058.1	34275	35510		minus	organoarsenical effux MFS transporter ArsJ	arsJ	0	protein-coding		WP_018863889.1	411	G372_RS0110690
NZ_ARQK01000058.1	35635	36111		minus	tryptophan-rich sensory protein		0	protein-coding		WP_018863890.1	158	G372_RS0110695
NZ_ARQK01000058.1	36270	37499		plus	efflux RND transporter periplasmic adaptor subunit		0	protein-coding		WP_019624163.1	409	G372_RS0110700
NZ_ARQK01000058.1	37496	40570		plus	efflux RND transporter permease subunit		0	protein-coding		WP_019624162.1	1024	G372_RS0110705
NZ_ARQK01000058.1	40563	42149		plus	TolC family protein		0	protein-coding		WP_019624161.1	528	G372_RS0110710
NZ_ARQK01000058.1	42177	42941		minus	ABC transporter permease		0	protein-coding		WP_018863894.1	254	G372_RS0110715
NZ_ARQK01000058.1	42938	43900		minus	daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein		0	protein-coding		WP_019624160.1	320	G372_RS0110720
NZ_ARQK01000058.1	43946	44416		minus	YbaK/EbsC family protein		0	protein-coding		WP_018139331.1	156	G372_RS0110725
NZ_ARQK01000058.1	44540	45538		plus	LLM class flavin-dependent oxidoreductase		0	protein-coding		WP_018863896.1	332	G372_RS0110730
NZ_ARQK01000058.1	45622	46821		plus	tryptophan synthase subunit beta	trpB	0	protein-coding		WP_018863897.1	399	G372_RS0110735
NZ_ARQK01000058.1	46887	47153		plus	DksA/TraR family C4-type zinc finger protein		0	protein-coding		WP_018863898.1	88	G372_RS0110740
NZ_ARQK01000058.1	47196	48119		plus	histone deacetylase family protein		0	protein-coding		WP_018863899.1	307	G372_RS0110745
NZ_ARQK01000058.1	48153	48710		plus	type II CAAX endopeptidase family protein		0	protein-coding		WP_018863900.1	185	G372_RS0110750
NZ_ARQK01000058.1	48804	48938		plus	uncharacterized gene		0	pseudogene				G372_RS14490
NZ_ARQK01000058.1	48975	51347		minus	HDOD domain-containing protein		0	protein-coding		WP_019624159.1	790	G372_RS0110755
NZ_ARQK01000058.1	51477	52502		minus	DUF2235 domain-containing protein		0	protein-coding		WP_026340372.1	341	G372_RS0110760
NZ_ARQK01000058.1	52600	53130		minus	Hsp20/alpha crystallin family protein		0	protein-coding		WP_018863903.1	176	G372_RS0110765
NZ_ARQK01000058.1	53272	53889		plus	rhomboid family intramembrane serine protease		0	protein-coding		WP_019624157.1	205	G372_RS0110770
NZ_ARQK01000058.1	53971	55338		plus	glycoside hydrolase		0	protein-coding		WP_019624156.1	455	G372_RS0110775
NZ_ARQK01000058.1	55338	56261		plus	isoaspartyl peptidase/L-asparaginase family protein		0	protein-coding		WP_019624155.1	307	G372_RS0110780
NZ_ARQK01000058.1	56335	57342		plus	adenosine deaminase		0	protein-coding		WP_019624154.1	335	G372_RS0110785
NZ_ARQK01000058.1	57369	58898		minus	amidase		0	protein-coding		WP_019624153.1	509	G372_RS0110790
NZ_ARQK01000058.1	59117	60427		plus	diguanylate cyclase		0	protein-coding		WP_019624152.1	436	G372_RS0110795
NZ_ARQK01000058.1	60571	61320		plus	class I SAM-dependent methyltransferase		0	protein-coding		WP_026278956.1	249	G372_RS0110800
NZ_ARQK01000058.1	61413	61730		plus	hypothetical protein		0	protein-coding		WP_019624151.1	105	G372_RS0110805
NZ_ARQK01000058.1	61756	63015		plus	GspE/PulE family protein		0	protein-coding		WP_019624150.1	419	G372_RS0110810
NZ_ARQK01000058.1	63052	64059		plus	MDR family oxidoreductase		0	protein-coding		WP_019624149.1	335	G372_RS0110815
NZ_ARQK01000058.1	64069	65550		minus	tRNA uracil 4-sulfurtransferase ThiI	thiI	0	protein-coding		WP_019624148.1	493	G372_RS0110820
NZ_ARQK01000058.1	65543	66481		minus	DUF523 and DUF1722 domain-containing protein		0	protein-coding		WP_019624147.1	312	G372_RS0110825
NZ_ARQK01000058.1	66579	67568		plus	patatin-like phospholipase family protein		0	protein-coding		WP_019624146.1	329	G372_RS0110830
NZ_ARQK01000058.1	67565	68548		plus	pentapeptide repeat-containing protein		0	protein-coding		WP_019624145.1	327	G372_RS0110835
NZ_ARQK01000058.1	68752	69165		plus	hypothetical protein		0	protein-coding		WP_019624144.1	137	G372_RS0110840
NZ_ARQK01000058.1	69162	69356		minus	hypothetical protein		0	protein-coding		WP_018863919.1	64	G372_RS14495
NZ_ARQK01000058.1	69477	71045		plus	EAL domain-containing protein		0	protein-coding		WP_019624143.1	522	G372_RS0110850
NZ_ARQK01000058.1	71042	71761		plus	OmpA family protein		0	protein-coding		WP_018863921.1	239	G372_RS0110855
NZ_ARQK01000058.1	71763	72464		minus	GGDEF domain-containing protein		0	protein-coding		WP_018863922.1	233	G372_RS0110860
NZ_ARQK01000058.1	73094	73540		plus	PRC-barrel domain-containing protein		0	protein-coding		WP_019624142.1	148	G372_RS0110865
NZ_ARQK01000058.1	73793	74533		plus	Crp/Fnr family transcriptional regulator		0	protein-coding		WP_026340370.1	246	G372_RS0110870
NZ_ARQK01000058.1	74569	74781		minus	CsbD family protein		0	protein-coding		WP_018863925.1	70	G372_RS0110875
NZ_ARQK01000058.1	75152	75700		plus	hypothetical protein		0	protein-coding		WP_019624139.1	182	G372_RS0110880
NZ_ARQK01000058.1	75736	77271		minus	L-lactate permease		0	protein-coding		WP_018863926.1	511	G372_RS0110885
NZ_ARQK01000058.1	77344	77967		minus	hypothetical protein		0	protein-coding		WP_019624138.1	207	G372_RS0110890
NZ_ARQK01000058.1	78099	78485		plus	MliC family protein		0	protein-coding		WP_026372265.1	128	G372_RS0110895
NZ_ARQK01000058.1	78418	79104		minus	hypothetical protein		0	protein-coding		WP_018863928.1	228	G372_RS0110900
NZ_ARQK01000058.1	79228	79888		plus	uncharacterized gene		0	pseudogene				G372_RS14230
NZ_ARQK01000058.1	79909	80811		minus	hypothetical protein		0	protein-coding		WP_019624135.1	300	G372_RS0110915
NZ_ARQK01000058.1	81074	81325		plus	hypothetical protein		0	protein-coding		WP_019624134.1	83	G372_RS0110920
NZ_ARQK01000058.1	81512	82189		plus	DUF3047 domain-containing protein		0	protein-coding		WP_019624133.1	225	G372_RS0110925
NZ_ARQK01000058.1	82455	83738		plus	EAL domain-containing protein		0	protein-coding		WP_019624132.1	427	G372_RS0110930
NZ_ARQK01000058.1	83760	84155		minus	DUF4168 domain-containing protein		0	protein-coding		WP_019624131.1	131	G372_RS0110935
NZ_ARQK01000058.1	84442	85143		minus	DUF4197 domain-containing protein		0	protein-coding		WP_019624130.1	233	G372_RS0110940
NZ_ARQK01000058.1	85270	86445		plus	alpha/beta hydrolase		0	protein-coding		WP_244263204.1	391	G372_RS0110945
NZ_ARQK01000058.1	86359	87057		minus	transporter substrate-binding domain-containing protein		0	protein-coding		WP_026340368.1	232	G372_RS14070
NZ_ARQK01000058.1	87162	88685		minus	NAD(P)H-dependent oxidoreductase		0	protein-coding		WP_019624127.1	507	G372_RS0110955
NZ_ARQK01000058.1	88799	89290		plus	SRPBCC family protein		0	protein-coding		WP_019624126.1	163	G372_RS0110960
NZ_ARQK01000058.1	89257	89805		minus	cyclin-dependent kinase inhibitor 3 family protein		0	protein-coding		WP_020008865.1	182	G372_RS0110965
NZ_ARQK01000058.1	89908	90051		plus	hypothetical protein		0	protein-coding		WP_018863942.1	47	G372_RS14385
NZ_ARQK01000058.1	90087	90707		plus	phosphoribosyltransferase		0	protein-coding		WP_019624124.1	206	G372_RS0110975
NZ_ARQK01000058.1	90797	91450		plus	phosphoribosyltransferase family protein		0	protein-coding		WP_019624123.1	217	G372_RS0110980
NZ_ARQK01000058.1	91437	92084		plus	dienelactone hydrolase family protein		0	protein-coding		WP_026340367.1	215	G372_RS0110985
NZ_ARQK01000058.1	92121	92309		minus	hypothetical protein		0	protein-coding		WP_018863946.1	62	G372_RS0110990
NZ_ARQK01000058.1	92359	94416		minus	sodium-translocating pyrophosphatase		0	protein-coding		WP_026340366.1	685	G372_RS0110995
NZ_ARQK01000058.1	94913	95458		plus	HIT family protein		0	protein-coding		WP_019624120.1	181	G372_RS0111000
NZ_ARQK01000058.1	95581	96249		plus	c-type cytochrome		0	protein-coding		WP_026340365.1	222	G372_RS0111005
NZ_ARQK01000058.1	96328	96543		plus	hypothetical protein		0	protein-coding		WP_244263200.1	71	G372_RS14500
NZ_ARQK01000058.1	96647	97711		plus	hypothetical protein		0	protein-coding		WP_244263201.1	354	G372_RS0111015
NZ_ARQK01000058.1	98043	98489		plus	DsrE family protein		0	protein-coding		WP_244263205.1	148	G372_RS0111020
NZ_ARQK01000058.1	98687	99565		minus	sulfite exporter TauE/SafE family protein		0	protein-coding		WP_244263202.1	292	G372_RS0111025
NZ_ARQK01000058.1	99790	101289		minus	SLC13 family permease		0	protein-coding		WP_019624114.1	499	G372_RS0111030
NZ_ARQK01000058.1	101273	101842		minus	CBS domain-containing protein		0	protein-coding		WP_019624113.1	189	G372_RS0111035
NZ_ARQK01000058.1	102096	102881		minus	molecular chaperone TorD family protein		0	protein-coding		WP_019624112.1	261	G372_RS0111040
NZ_ARQK01000058.1	102886	103725		minus	ethylbenzene dehydrogenase-related protein		0	protein-coding		WP_019624111.1	279	G372_RS0111045
NZ_ARQK01000058.1	103740	104867		minus	hypothetical protein		0	protein-coding		WP_019624110.1	375	G372_RS0111050
NZ_ARQK01000058.1	104887	108369		minus	molybdopterin-dependent oxidoreductase		0	protein-coding		WP_019624109.1	1160	G372_RS0111055
NZ_ARQK01000058.1	108523	109170		minus	hypothetical protein		0	protein-coding		WP_244263203.1	215	G372_RS0111060
NZ_ARQK01000058.1	109503	110771		plus	hypothetical protein		0	protein-coding		WP_019624107.1	422	G372_RS0111065
NZ_ARQK01000058.1	110849	111268		minus	CBS domain-containing protein		0	protein-coding		WP_018863959.1	139	G372_RS0111070
NZ_ARQK01000058.1	111714	112952		plus	MFS transporter		0	protein-coding		WP_019624106.1	412	G372_RS0111075
NZ_ARQK01000058.1	113136	114074		plus	hypothetical protein		0	protein-coding		WP_026340363.1	312	G372_RS0111080
NZ_ARQK01000058.1	114129	115253		minus	site-2 protease family protein		0	protein-coding		WP_019624104.1	374	G372_RS0111085
NZ_ARQK01000058.1	115478	116933		minus	uncharacterized gene		0	pseudogene				G372_RS13595
NZ_ARQK01000058.1	117162	118604		plus	diguanylate cyclase		0	protein-coding		WP_019624102.1	480	G372_RS0111095
NZ_ARQK01000058.1	118701	121373		minus	AMP-binding protein		0	protein-coding		WP_019624101.1	890	G372_RS0111100
NZ_ARQK01000058.1	121716	122048		minus	antibiotic biosynthesis monooxygenase		0	protein-coding		WP_018863966.1	110	G372_RS0111105
NZ_ARQK01000058.1	122105	122425		minus	hypothetical protein		0	protein-coding		WP_018863967.1	106	G372_RS0111110
NZ_ARQK01000058.1	122627	123202		minus	TetR/AcrR family transcriptional regulator		0	protein-coding		WP_019624100.1	191	G372_RS0111115
NZ_ARQK01000058.1	123366	124190		plus	methyltransferase domain-containing protein		0	protein-coding		WP_019624099.1	274	G372_RS0111120
NZ_ARQK01000058.1	124543	125073		plus	cupin domain-containing protein		0	protein-coding		WP_038070544.1	176	G372_RS0111125
NZ_ARQK01000058.1	125224	126023		plus	hypothetical protein		0	protein-coding		WP_020008867.1	267	G372_RS0111130
NZ_ARQK01000059.1	1	1110		plus	sugar-transfer associated ATP-grasp domain-containing protein		0	protein-coding		WP_020008868.1	369	G372_RS0111135
NZ_ARQK01000059.1	1120	2184		minus	ATP-grasp domain-containing protein		0	protein-coding		WP_019623910.1	354	G372_RS0111140
NZ_ARQK01000059.1	2196	2771		minus	N-acetyltransferase		0	protein-coding		WP_018863380.1	191	G372_RS0111145
NZ_ARQK01000059.1	3221	4336		plus	sugar-transfer associated ATP-grasp domain-containing protein		0	protein-coding		WP_026278890.1	371	G372_RS0111150
NZ_ARQK01000059.1	4419	5885		plus	hypothetical protein		0	protein-coding		WP_020008869.1	488	G372_RS0111155
NZ_ARQK01000059.1	5885	8113		plus	hypothetical protein		0	protein-coding		WP_019623912.1	742	G372_RS0111160
NZ_ARQK01000059.1	8160	10001		minus	hypothetical protein		0	protein-coding		WP_026340345.1	613	G372_RS0111165
NZ_ARQK01000059.1	10032	11423		minus	putative O-glycosylation ligase, exosortase A system-associated		0	protein-coding		WP_018863385.1	463	G372_RS0111170
NZ_ARQK01000059.1	11615	13213		plus	acyl-CoA ligase (AMP-forming), exosortase A system-associated		0	protein-coding		WP_018863386.1	532	G372_RS0111175
NZ_ARQK01000059.1	13255	14460		plus	pyridoxal-dependent decarboxylase, exosortase A system-associated		0	protein-coding		WP_018863387.1	401	G372_RS0111180
NZ_ARQK01000059.1	14476	16275		minus	ATP-binding cassette domain-containing protein		0	protein-coding		WP_026340346.1	599	G372_RS0111185
NZ_ARQK01000059.1	16574	18181		plus	amino acid adenylation domain-containing protein		0	protein-coding		WP_019623916.1	535	G372_RS0111190
NZ_ARQK01000059.1	18225	18938		plus	class I SAM-dependent methyltransferase		0	protein-coding		WP_018863390.1	237	G372_RS0111195
NZ_ARQK01000059.1	18935	19936		minus	glycosyltransferase		0	protein-coding		WP_018863391.1	333	G372_RS0111200
NZ_ARQK01000059.1	19945	20829		minus	hydrolase 1, exosortase A system-associated		0	protein-coding		WP_018863392.1	294	G372_RS0111205
NZ_ARQK01000059.1	20826	21653		minus	hydrolase 2, exosortase A system-associated		0	protein-coding		WP_018863393.1	275	G372_RS0111210
NZ_ARQK01000059.1	21654	21905		minus	phosphopantetheine-binding protein		0	protein-coding		WP_012983883.1	83	G372_RS0111215
NZ_ARQK01000059.1	22336	24048		plus	asparagine synthase C-terminal domain-containing protein		0	protein-coding		WP_019623917.1	570	G372_RS0111220
NZ_ARQK01000059.1	24042	25388		minus	AMP-binding protein		0	protein-coding		WP_019623918.1	448	G372_RS0111225
NZ_ARQK01000059.1	25391	26626		minus	glycosyltransferase		0	protein-coding		WP_019623919.1	411	G372_RS0111230
NZ_ARQK01000059.1	26616	27833		minus	glycosyltransferase, exosortase A system-associated		0	protein-coding		WP_019623920.1	405	G372_RS0111235
NZ_ARQK01000059.1	27830	28777		minus	methyltransferase domain-containing protein		0	protein-coding		WP_018863398.1	315	G372_RS0111240
NZ_ARQK01000059.1	28780	30717		minus	amidotransferase 1, exosortase A system-associated		0	protein-coding		WP_026340347.1	645	G372_RS0111245
NZ_ARQK01000059.1	30719	31957		minus	TIGR03088 family PEP-CTERM/XrtA system glycosyltransferase		0	protein-coding		WP_019623922.1	412	G372_RS0111250
NZ_ARQK01000059.1	31954	33498		minus	exosortase A	xrtA	0	protein-coding		WP_019623923.1	514	G372_RS0111255
NZ_ARQK01000059.1	33495	34736		minus	TIGR03087 family PEP-CTERM/XrtA system glycosyltransferase		0	protein-coding		WP_019623924.1	413	G372_RS0111260
NZ_ARQK01000059.1	34791	35861		minus	FemAB family PEP-CTERM system-associated protein		0	protein-coding		WP_026340348.1	356	G372_RS0111265
NZ_ARQK01000059.1	35845	36762		minus	DUF3473 domain-containing protein		0	protein-coding		WP_019623926.1	305	G372_RS0111270
NZ_ARQK01000059.1	36780	37841		minus	XrtA-associated ATPase		0	protein-coding		WP_019623927.1	353	G372_RS0111275
NZ_ARQK01000059.1	37844	39340		minus	TIGR03016 family PEP-CTERM system-associated outer membrane protein		0	protein-coding		WP_019623928.1	498	G372_RS0111280
NZ_ARQK01000059.1	39403	40290		minus	XrtA-associated tyrosine autokinase		0	protein-coding		WP_018863407.1	295	G372_RS0111285
NZ_ARQK01000059.1	40399	41952		minus	Wzz/FepE/Etk N-terminal domain-containing protein		0	protein-coding		WP_019623929.1	517	G372_RS0111290
NZ_ARQK01000059.1	42305	42901		plus	PilZ domain-containing protein		0	protein-coding		WP_019623930.1	198	G372_RS0111295
NZ_ARQK01000059.1	42939	43757		plus	GNAT family N-acyltransferase		0	protein-coding		WP_026340349.1	272	G372_RS0111300
NZ_ARQK01000059.1	43747	44523		plus	PEP-CTERM/exosortase system-associated acyltransferase		0	protein-coding		WP_019623932.1	258	G372_RS0111305
NZ_ARQK01000059.1	44523	45398		plus	ThiF family adenylyltransferase		0	protein-coding		WP_019623933.1	291	G372_RS0111310
NZ_ARQK01000059.1	45524	46357		minus	flocculation-associated PEP-CTERM protein PepA	pepA	0	protein-coding		WP_018863413.1	277	G372_RS0111315
NZ_ARQK01000059.1	46583	47293		plus	class I SAM-dependent methyltransferase		0	protein-coding		WP_019623935.1	236	G372_RS0111320
NZ_ARQK01000059.1	47376	50183		minus	PEP-CTERM system TPR-repeat protein PrsT	prsT	0	protein-coding		WP_155998809.1	935	G372_RS0111325
NZ_ARQK01000059.1	50189	51526		minus	PEP-CTERM-box response regulator transcription factor	prsR	0	protein-coding		WP_018863416.1	445	G372_RS0111330
NZ_ARQK01000059.1	51550	53616		minus	PEP-CTERM system histidine kinase PrsK	prsK	0	protein-coding		WP_019623937.1	688	G372_RS0111335
NZ_ARQK01000059.1	53620	55014		minus	TIGR03013 family PEP-CTERM/XrtA system glycosyltransferase		0	protein-coding		WP_019623938.1	464	G372_RS0111340
NZ_ARQK01000059.1	55131	55769		minus	polysaccharide export protein		0	protein-coding		WP_018863419.1	212	G372_RS0111345
NZ_ARQK01000059.1	56088	56846		plus	YdcF family protein		0	protein-coding		WP_244263206.1	252	G372_RS0111350
NZ_ARQK01000059.1	56907	57959		plus	UDP-glucose 4-epimerase GalE	galE	0	protein-coding		WP_019623940.1	350	G372_RS0111355
NZ_ARQK01000059.1	58229	59287		plus	type IV toxin-antitoxin system AbiEi family antitoxin		0	protein-coding		WP_019623941.1	352	G372_RS0111360
NZ_ARQK01000059.1	59250	60152		plus	nucleotidyl transferase AbiEii/AbiGii toxin family protein		0	protein-coding		WP_019623942.1	300	G372_RS0111365
NZ_ARQK01000059.1	60542	61597		minus	uncharacterized gene		0	pseudogene				G372_RS0111370
NZ_ARQK01000059.1	61847	63229		minus	hypothetical protein		0	protein-coding		WP_019623944.1	460	G372_RS0111375
NZ_ARQK01000059.1	63678	63998		plus	hypothetical protein		0	protein-coding		WP_019623945.1	106	G372_RS0111380
NZ_ARQK01000059.1	64056	64475		plus	SRPBCC family protein		0	protein-coding		WP_019623946.1	139	G372_RS0111385
NZ_ARQK01000059.1	64547	64963		minus	DUF3775 domain-containing protein		0	protein-coding		WP_019623947.1	138	G372_RS0111390
NZ_ARQK01000059.1	65019	65645		minus	HPF/RaiA family ribosome-associated protein		0	protein-coding		WP_018863432.1	208	G372_RS0111395
NZ_ARQK01000059.1	65841	68261		minus	endopeptidase La	lon	0	protein-coding		WP_019623948.1	806	G372_RS0111400
NZ_ARQK01000059.1	68258	68629		minus	Hsp20/alpha crystallin family protein		0	protein-coding		WP_018863434.1	123	G372_RS0111405
NZ_ARQK01000059.1	68950	69993		plus	hypothetical protein		0	protein-coding		WP_019623949.1	347	G372_RS0111410
NZ_ARQK01000059.1	69971	71044		minus	ribose-phosphate pyrophosphokinase		0	protein-coding		WP_019623950.1	357	G372_RS0111415
NZ_ARQK01000059.1	71078	72190		plus	CapA family protein		0	protein-coding		WP_019623951.1	370	G372_RS0111420
NZ_ARQK01000059.1	72183	72719		minus	peptide deformylase	def	0	protein-coding		WP_026340353.1	178	G372_RS0111425
NZ_ARQK01000059.1	72812	73093		plus	type II toxin-antitoxin system mRNA interferase toxin, RelE/StbE family		0	protein-coding		WP_018863439.1	93	G372_RS0111430
NZ_ARQK01000059.1	73095	73355		plus	helix-turn-helix transcriptional regulator		0	protein-coding		WP_019572130.1	86	G372_RS0111435
NZ_ARQK01000059.1	73483	73558		minus	tRNA-Phe		0	tRNA				G372_RS0111440
NZ_ARQK01000059.1	73651	73926		minus	oxidative damage protection protein		0	protein-coding		WP_038070483.1	91	G372_RS0111445
NZ_ARQK01000059.1	73910	74965		minus	A/G-specific adenine glycosylase	mutY	0	protein-coding		WP_019623953.1	351	G372_RS0111450
NZ_ARQK01000059.1	75048	77282		minus	AsmA family protein		0	protein-coding		WP_019623954.1	744	G372_RS0111455
NZ_ARQK01000059.1	77279	77770		minus	cyclic pyranopterin monophosphate synthase MoaC	moaC	0	protein-coding		WP_018863444.1	163	G372_RS0111460
NZ_ARQK01000059.1	77816	78049		plus	molybdopterin converting factor subunit 1	moaD	0	protein-coding		WP_018863445.1	77	G372_RS0111465
NZ_ARQK01000059.1	78051	78488		plus	molybdenum cofactor biosynthesis protein MoaE		0	protein-coding		WP_019623955.1	145	G372_RS0111470
NZ_ARQK01000059.1	78719	80071		minus	DegQ family serine endoprotease		0	protein-coding		WP_019623956.1	450	G372_RS0111475
NZ_ARQK01000059.1	80094	81008		minus	DnaJ C-terminal domain-containing protein		0	protein-coding		WP_018863448.1	304	G372_RS0111480
NZ_ARQK01000059.1	81251	81682		minus	Hsp20/alpha crystallin family protein		0	protein-coding		WP_026278900.1	143	G372_RS0111485
NZ_ARQK01000059.1	81782	82009		minus	DUF2835 family protein		0	protein-coding		WP_019623957.1	75	G372_RS0111490
NZ_ARQK01000059.1	82019	82882		minus	YicC family protein		0	protein-coding		WP_019623958.1	287	G372_RS0111495
NZ_ARQK01000059.1	83048	83767		plus	ribonuclease PH	rph	0	protein-coding		WP_019623959.1	239	G372_RS0111500
NZ_ARQK01000059.1	83771	84382		plus	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	rdgB	0	protein-coding		WP_019623960.1	203	G372_RS0111505
NZ_ARQK01000059.1	84404	85609		plus	radical SAM family heme chaperone HemW	hemW	0	protein-coding		WP_019623961.1	401	G372_RS0111510
NZ_ARQK01000059.1	85609	85803		plus	CPXCG motif-containing cysteine-rich protein		0	protein-coding		WP_018863455.1	64	G372_RS0111515
NZ_ARQK01000059.1	85800	86048		plus	transcriptional antiterminator, Rof		0	protein-coding		WP_018863456.1	82	G372_RS0111520
NZ_ARQK01000059.1	86142	87401		minus	transcription termination factor Rho	rho	0	protein-coding		WP_018863457.1	419	G372_RS0111525
NZ_ARQK01000059.1	87613	87939		minus	thioredoxin TrxA	trxA	0	protein-coding		WP_012983830.1	108	G372_RS0111530
NZ_ARQK01000059.1	88045	89373		plus	DEAD/DEAH box helicase		0	protein-coding		WP_018863458.1	442	G372_RS0111535
NZ_ARQK01000059.1	89411	89486		minus	tRNA-Thr		0	tRNA				G372_RS0111540
NZ_ARQK01000059.1	89568	90005		minus	Fur family transcriptional regulator		0	protein-coding		WP_019623962.1	145	G372_RS0111545
NZ_ARQK01000059.1	90091	90164		minus	tRNA-Gly		0	tRNA				G372_RS0111550
NZ_ARQK01000059.1	90231	90437		plus	sulfur carrier protein ThiS	thiS	0	protein-coding		WP_018863460.1	68	G372_RS0111555
NZ_ARQK01000059.1	90497	91303		plus	thiazole synthase		0	protein-coding		WP_018863461.1	268	G372_RS0111560
